career_c_o,career_label_o
1,Lawyer
2,Academic/Research
3,Psychologist
4,Doctor/Medicine
5,Engineer
6,Creative Arts/Entertainment
7,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin
8,Real Estate
9,International/Humanitarian Affairs
10,Undecided
11,Social Work
12,Speech Pathology
13,Politics
14,Pro sports/Athletics
15,Other
16,Journalism
17,Architecture
